"type","x","y","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9","wc2.1_30s_elev","pest","distriver1","distriver2","distriver3","rivtype","distlake","distshore","agpot","distblack","distclear","distwhite","npp","T_SILT","phsoil","T_GRAVEL","S_CEC_CLAY","T_PH_H2O","S_SAND","S_GRAVEL","mgs","nure","nuav","rug","nitrogen","bdod","cec","cfvo","clay","phh2o","sand","silt","soc","phos","smn30cm","smc30cm","T_C","S_C","T_OC","S_OC","AWT_S_OC","AWT_T_OC","AWC","T_CEC_CLAY","T_BULK_DEN","S_BULK_DEN"
"earthwork",-67.522,-10.3873,25.54166603,26.26666641,24.33333397,1696,226,44,46.82584381,658,171,434,184,10.5,69.99999237,83.19838715,32.40000153,17.39999962,15.00000191,25.88333321,24.41666603,211,194.3655279,717046.5262,605111.4586,115904.2945,"white",328298.199,880763.0166,0.066,128859.9987,127027.1342,20715.93025,1024.900024,41,5.2,0,13,5,37,1,11,2,3,6.625,3.13,1.21,13.65,7.1,22.2,4.85,43.35,34.45,33.1,206.9999847,104,67.51599884,5.2824,4.76,1.24,0.5,4.18642,5.715,1,15,1.4,1.36
"earthwork",-67.462,-10.2237,25.35000038,26.04999924,24.18333244,1692,223,44,46.85083771,660,171,426,189,10.48333359,70.35793304,80.48152161,32.20000076,17.29999924,14.90000153,25.68333244,24.25,238,202.1437634,702326.528,621612.5014,129182.9169,"white",341229.2368,899638.3168,0.094000001,110924.5206,144021.7047,27841.26278,999.7000122,41,5.2,0,13,5,37,1,11,2,3,5.625,3.2694348,1.2282332,16.193992,8.264308,27.092924,4.635336,33.741344,39.1834,33.418024,69,104,135.826004,5.2824,4.76,1.24,0.5,4.18642,5.715,1,15,1.42,1.36
"earthwork",-67.655,-10.2079,25.35833359,26.08333397,24.14999962,1664,211,53,41.73603439,625,200,493,205,10.38333321,70.15766144,83.85140991,32.09999847,17.29999924,14.79999924,25.73333359,24.20000076,194,206.0713122,693417.5103,607034.2161,137002.347,"white",352815.397,889732.8419,0.066,124630.7388,149529.664,16286.14269,1024.900024,41,5.2,0,13,5,37,1,11,2,3,4.75,2.93,1.24,14.37266,4.7,20.4,4.6,41.4,38.2,28.09064,206.9999847,104,67.51599884,5.22,3.1892,1.16,0.34,4.18642,5.63655,1,16,1.42,1.36
"earthwork",-67.618,-10.0581,25.32500076,26,24.13333321,1668,210,55,40.52187347,623,207,489,215,10.38333321,70.15766144,81.61716461,32.09999847,17.29999924,14.79999924,25.70000076,24.20000076,196,212.8542817,678987.1806,621429.3474,123719.6911,"white",365542.7263,905889.3306,0.066,110983.1058,164996.7152,13183.9744,1024.900024,41,4.5,0,14,4.7,29,1,11,2,3,5.625,3.213,1.25,14.368,5.44,24.256,4.634,33.92,41.824,31.282,206.9999847,104,67.51599884,5.22,3.1892,1.16,0.34,4.18642,5.63655,1,16,1.42,1.36
"earthwork",-67.728,-10.029,25.41666603,26.11666679,24.18333435,1653,199,64,35.95354843,594,229,424,229,10.54999924,69.86755371,85.12913513,32.29999924,17.20000076,15.09999847,25.81666565,24.18333435,156,218.1983995,671990.3819,614711.9689,115552.3967,"white",374097.1742,901699.4539,0.066,119470.4613,170795.5041,7221.419742,1024.900024,41,4.5,0,14,4.6,29,1,11,2,3,4.625,3.28,1.24,14.8,3.6,28.7,4.9,21.8,49.4,35.2,206.9999847,104,67.51599884,4.5018,3.1892,1.16,0.34,4.18642,4.73778,1,16,1.42,1.36
"earthwork",-67.546,-10.071,25.47916603,26.16666603,24.28333282,1681,217,52,43.04731369,640,192,425,206,10.47499943,70.30201721,82.17106628,32.29999924,17.39999962,14.89999962,25.86666679,24.35000038,175,209.8347017,683149.1241,626073.9224,128953.0859,"white",360567.8154,908977.0172,0.066,105743.8951,162111.3973,19157.46161,1024.900024,41,4.5,0,13.98,4.7,29,1,11,2,3,5.625,2.8426,1.1808,25.58,7.1,20.724,4.898,37.584,41.692,35.27,206.9999847,104,67.51599884,5.22,3.1892,1.16,0.34,4.18642,5.63655,1,16,1.42,1.36
"earthwork",-67.094,-9.9978,25.72500038,26.43333435,24.66666603,1808,257,28,54.96583176,749,124,452,173,10.55000019,71.76870728,74.14667511,32.5,17.79999924,14.70000076,25.96666718,24.73333359,182,208.5616558,694619.8824,668746.6905,135599.9571,"white",345617.6276,941434.7984,0.094000001,66688.56872,148566.2341,24103.50985,1049.699951,41,5.2,0,8,5,36,1,11,2,3,4.875,2.75,1.24,17.7,5,30.4,4.6,33,36.6,26.7,206.9999847,104,67.56800079,6.699,5.3193,1.54,0.51,4.235805,6.76125,1,12,1.42,1.36
"earthwork",-67.498,-9.9855,25.41250038,26.11666679,24.23333359,1718,227,47,45.14907455,666,181,433,203,10.5583334,70.3888855,81.10388184,32.29999924,17.29999924,15,25.76666641,24.29999924,191,212.1812369,676179.5386,636333.3434,122500.486,"white",366734.432,919746.7717,0.066,95830.11185,170803.3908,17036.88039,1049.699951,41,4.5,0,14,4.7,29,1,11,2,3,5.125,3.075,1.27,14.3,5.3,30.65,4.75,32.45,36.95,30.95,206.9999847,104,67.56800079,5.22,4.76,1.16,0.5,4.18642,5.63655,1,16,1.42,1.36
"earthwork",-67.214,-9.801,25.66666603,26.35000038,24.56666565,1819,268,28,56.4024353,766,119,443,177,10.51666641,72.0319519,76.55459595,32.40000153,17.79999924,14.60000229,25.98333359,24.61666679,152,211.7454961,669235.8148,673248.579,113521.14,"white",371114.356,954072.9915,0.066,58524.79023,163332.2842,36764.77997,1049.699951,41,4.5,0,13,4.7,29,1,11,3,3,3.875,2.87,1.2,12.9,4.9,34.7,4.4,26.8,38.4,25.7,206.9999847,104,67.56800079,6.6654,5.3193,1.54,0.51,4.235805,6.07002,1,15,1.42,1.36
"earthwork",-67.601,-10.3632,25.51250076,26.23333359,24.31666565,1672,221,46,46.11636353,647,175,423,188,10.4416666,70.07830048,82.98755646,32.29999924,17.39999962,14.89999962,25.86666679,24.36666679,200,196.8351538,711689.8654,600090.0223,121340.5929,"white",334904.751,878853.1955,0.066,132509.2053,131323.6718,26483.78078,1024.900024,41,5.2,0,13,5,37,1,11,2,3,5.125,3.06,1.23,14.1,5.1,21.5,4.8,35.6,42.9,30.7,206.9999847,104,67.51599884,5.22,3.1892,1.16,0.34,4.18642,5.63655,1,16,1.4,1.36
